title_spanish,tconst,actors,director,writter
The Collection,tt1748227,"nm1577637,nm3500747,nm0001520",nm1729303,nm1733317
El santo,tt0055701,"nm0000549,nm0212796,nm0186874",,nm0153546
Terrifier: El inicio,tt2900624,"nm2327927,nm2124399,nm3861030",nm2093171,nm2093171
Jerry Maguire,tt0116695,"nm0000129,nm0000421,nm0000250",nm0001081,nm0001081
Sivarapalli,tt31914057,"nm9855589,nm6184373,nm12234395",,nm2837311
Journey to the End of the Night,tt0454879,"nm0000409,nm0080049,nm0001277",nm1067858,nm1067858
El caso de Cristo,tt6113488,"nm1036181,nm0159776,nm0001159",nm0348197,nm0083349
Culte,tt29436224,"nm11035821,nm2023483,nm4218746",,nm2187727
Dog - Un viaje salvaje,tt11252248,"nm1475594,nm9208180,nm3590810",nm1730221,nm1730221
Apocalipsis,tt27599851,"nm0946962,nm4170579,nm7152208",nm2165066,nm3857756
La leyenda del Zorro,tt0386140,"nm1642653,nm0575339,nm0844761",nm0132709,nm0649460
Suspiria. El maligno,tt1034415,"nm1631269,nm0842770,nm0382566",nm0345174,nm0000783
Citadel,tt9794044,"nm0534635,nm1231899,nm0544334",,nm0032227
Predadores,tt1424381,"nm0004778,nm0333410,nm0103797",nm0030735,nm0514821
La vuelta al mundo de Willy Fog,tt0135114,"nm0489834,nm0319980,nm0810987",,nm0894523
Cuatro días,tt10344522,"nm0005109,nm0303013,nm0000335",nm0006554,nm10133817
Mud,tt1935179,"nm0000190,nm0000702,nm4446467",nm2158772,nm2158772
Molly Mae: Behind It All,tt34722592,nm10901458,,
Doctor Mateo,tt1320315,"nm0207891,nm0893638,nm0661133",,nm0007657
Tierras de nadie,tt11685912,"nm0000982,nm0687947,nm1782299",,nm2599770
La casa torcida,tt1869347,"nm1796057,nm7607873,nm0000335",nm0660707,nm0271501
Porno y Helado,tt14369952,"nm0685289,nm10344629,nm1494170",,nm5613719
"Smile, c'était écrit",tt29231945,"nm11750425,nm6693784,nm7439125",nm7439124,nm7439124
El tercer hombre,tt0041959,"nm0001072,nm0885098,nm0000080",nm0715346,nm0001294
Única superviviente,tt16410984,"nm11994318,nm10010593,nm1595810",nm5140080,nm13210634
Aliados,tt3640424,"nm0000093,nm1081121,nm0208756",nm0000709,nm1140275
A ciegas,tt29471733,"nm7592760,nm2842005,nm8930223",nm2752786,nm4489192
Curvature,tt4720596,"nm0960912,nm0607703,nm1246448",nm3611504,nm5879674
La gran estafa americana,tt1800241,"nm0000288,nm0177896,nm0010736",nm0751102,nm2545235
El incomprendido,tt3686272,"nm5256984,nm4454779,nm1419440",nm2149627,nm1202178
Tenor,tt15740736,"nm0488477,nm9076691,nm7580719",nm2273595,nm1148054
ZeroZeroZero,tt8332438,"nm2057859,nm2851530,nm9400978",,nm0006938
Infiltrado en el KKKlan,tt7349662,"nm0000285,nm0913475,nm0926086",nm0000490,nm4478735
Crímenes del futuro,tt14549466,"nm13693627,nm6779063,nm0005454",nm0000343,nm0000343
Redención (Southpaw),tt1798684,"nm0350453,nm1046097,nm0001845",nm0298807,nm1176676
Dos pistolas de leyenda,tt16513514,"nm0000297,nm0000680,nm3093760",nm4899218,nm4899218
Matar a Santa,tt10310140,"nm0000154,nm0324658,nm0001399",nm1532523,nm1534497
Intruso,tt8258502,"nm1519680,nm8958770,nm7543974",nm0204628,nm2914363
La venganza del dragón,tt0295955,"nm0228338,nm0289856,nm0758939",nm0302007,nm0885437
Princesa (Han Gong-Ju),tt3265462,"nm3825915,nm1696090,nm1974957",nm3964742,nm3964742
El sustituto,tt11579538,"nm1088493,nm2780716,nm0690290",nm0014426,nm0014426
"David, el gnomo",tt0283721,"nm0174537,nm0940640,nm0555336",,nm0081599
Velvet,tt0090756,"nm0000618,nm0001492,nm0000454",nm0000186,nm0000186
Vencer o morir,tt33812104,"nm6797988,nm3014594,nm4506863",,nm1823321
La novena puerta,tt0142688,"nm0000136,nm0001449,nm0000565",nm0000591,nm0702416
Misión imposible 2,tt0120755,"nm0000129,nm0779084,nm0628601",nm0000247,nm0312367
Locas en apuros,tt15268244,"nm0266631,nm8153837,nm1754239",nm1004604,nm2213739
Mentes maravillosas,tt13553662,"nm0132064,nm4056825,nm4401484",nm0132064,nm4132246
Somos Oro,tt33499592,"nm5252090,nm3499992,nm0493521",,nm2759628
El gran tour,tt5307236,,nm1022860,nm1876864
Melanie's Grave,tt32915499,"nm8265539,nm7778364,nm4076503",nm3130667,nm3130667
Summer Camp,tt26928684,"nm0000473,nm0000870,nm0005569",nm2500541,nm2500541
Malditos vecinos,tt2004420,"nm0736622,nm0126284,nm5746224",nm0831557,nm1157527
Winx Club,tt0421482,"nm0703939,nm1551130,nm0343319",,nm1709238
Madagascar 2,tt0479952,"nm0001774,nm0001674,nm0001710",nm0201509,nm1000113
Submarine,tt1440292,"nm0852965,nm0175916,nm1064292",nm1547964,nm1547964
Jerez & el misterio del Palo Cortado,tt4545286,,nm0006856,
El fin de todas las cosas,tt30955047,"nm12617454,nm15305200,nm15010557",nm12107437,nm12107437
El diario,tt28576307,"nm0044430,nm0643706,nm10386331",nm0069642,nm0069642
La generación del mal,tt13419036,"nm0200848,nm4482485,nm5320651",nm2543774,nm3556602
Un hombre solo,tt1315981,"nm0000147,nm0000194,nm0396558",nm1053530,nm0410877
Escuadrón suicida,tt1386697,"nm0000226,nm2968738,nm0054697",nm0043742,nm0043742
El tiempo del lobo,tt0324197,"nm0001376,nm1326732,nm1326414",nm0359734,nm0359734
Historias para no dormir,tt0247872,"nm0406608,nm0328151,nm0501572",,nm0406654
Santa Claus & Cia,tt7018010,"nm0149260,nm0267042,nm2847812",nm0149260,nm0149260
Dead Man,tt14364480,"nm8314228,nm0000335,nm0000982",nm0426059,nm0426059
Aquaman,tt1477834,"nm0597388,nm1720028,nm0000353",nm1490123,nm0424901
Matrix Revolutions,tt0242653,"nm0019569,nm1470128,nm0048127",nm0905154,nm0905152
Fast & Furious: Aún más rápido,tt1013752,"nm0004874,nm0908094,nm0108287",nm0510912,nm0604555
Cruel Summer,tt11083696,"nm3127051,nm9642493,nm5988570",,nm1421629
Innocent  Uk,tt13875428,"nm12346918,nm12346920,nm12346921",nm12246716,nm12246716
The Island,tt0399201,"nm0000191,nm0424060,nm0005023",nm0000881,nm0654100
El buen vecino,tt14349032,"nm2678126,nm0001667,nm10437051",nm1357855,nm1919309
Psycho-Pass,tt2379308,"nm2573928,nm1328076,nm0383022",,nm3256781
Mamma mia! Una y otra vez,tt6911608,"nm1086543,nm0000412,nm0408309",nm0662530,nm0662530
Lupin y el corazón púrpura de Cleopatra,tt0862748,"nm1040419,nm1543046,nm1025366",nm0457565,nm0700578
Antiks,tt15202752,"nm9411359,nm9411358",,
Rare Exports. Un cuento gamberro de Navidad,tt1401143,"nm2762369,nm0866918,nm0466636",nm1118351,nm1118351
John y el hoyo,tt11307724,"nm5454095,nm6339026,nm0355910",nm1482346,nm1481172
A cambio de nada,tt3211400,"nm5969653,nm4900182,nm6139163",nm0350044,nm0350044
El Bufon,tt26533869,"nm8915250,nm5756906,nm15153438",nm8915246,nm8915246
Titanes del Pacifico: Insurrección,tt2557478,"nm3915784,nm2207222,nm8314228",nm0215299,nm0215299
Dinner Club,tt14750652,"nm3047979,nm0272677,nm0514494",,nm14500887
Hitch: Especialista en ligues,tt0386588,"nm0000226,nm0578949,nm0416673",nm0855035,nm1358355
Mascotas,tt2709768,"nm0127373,nm0832314,nm0366389",nm0719208,nm0666791
Sherlock Holmes,tt0988045,"nm0000375,nm0000179,nm1046097",nm0005363,nm3467335
Elektra Luxx,tt1340773,"nm0330687,nm0001303,nm0652212",nm0349406,nm0349406
Los héroes del tiempo,tt0081633,"nm0000092,nm0000125,nm0001167",nm0000416,nm0001589
"No me chilles, que no te veo",tt0098282,"nm0001640,nm0000698,nm0000220",nm0002137,nm0056958
Click,tt0389860,"nm0001191,nm0000295,nm0000686",nm0178997,nm0466175
Cromañon,tt33366664,"nm11216307,nm5542034,nm2856470",,nm10181049
¡Estáis cordialmente invitados!,tt21227864,"nm0002071,nm0000702,nm6543093",nm0831557,nm0831557
Rashomon,tt0042876,"nm0001536,nm0477553,nm0605270",nm0000041,nm0015611
Parot,tt13024344,"nm1246047,nm1293644,nm0692391",,nm8105578
German Angst,tt3398436,"nm6147532,nm1172301,nm7386722",nm0125367,nm0125367
Relaciones confidenciales,tt0274711,"nm0000199,nm0000107,nm0641939",nm0019341,nm0047976
Harakiri,tt0056058,"nm0619938,nm0410968,nm0412615",nm0462030,nm0847668
Sangre de héroes,tt0040369,"nm0000078,nm0000020,nm0000073",nm0000406,nm0637793
The Blackwell Ghost: Recovered Footage,tt7450356,"nm3009275,nm2571852,nm9160622",nm2571852,
De Caperucita a loba,tt13017740,"nm2125297,nm11810789,nm0881736",nm0349484,nm2125297
El Cid,tt0054847,"nm0000032,nm0000047,nm0885203",nm0542649,nm0290931
El ataque del cocadrilo,tt26899693,"nm9145599,nm8950611,nm5174473",nm0712782,nm2072286
Mi señor,tt7923710,"nm1310525,nm3662554,nm3769206",,nm2579784
El secreto del doctor Grinberg,tt11898888,"nm16710437,nm16710443,nm7944094",nm4405407,nm4405407
Al interior,tt0856288,"nm1574565,nm2602462,nm1324984",nm2376614,nm2377660
Batalla espacial: La armada ataca,tt13057076,"nm0427964,nm1408752,nm0737318",nm10987604,nm2326633
Hechizo de luna,tt0093565,"nm0000333,nm0000115,nm0306696",nm0422484,nm0788234
Feliz día de tu muerte,tt5308322,"nm1557329,nm3441152,nm4384329",nm0484907,nm1245146
Unearthed: Ancient Murder Mysteries,tt27619722,"nm8395299,nm5749203,nm3216176",,
Salvaje,tt5265960,"nm8438062,nm8438061,nm2946760",nm1661334,nm1661334
La Mejor Oferta,tt1924396,"nm0001691,nm0836343,nm1679778",nm0868153,nm0868153
Goblin Slayer,tt8690728,"nm6728149,nm4033859,nm1883210",,nm2937719
La noche de los muertos vivientes,tt0063350,"nm0427977,nm0640621,nm0362457",nm0001681,nm0751652
El caso SK1,tt3433632,"nm0675521,nm0000882,nm0332709",nm1595335,nm1595335
Midiendo el mundo,tt1571401,"nm3477129,nm5714232,nm0205893",nm0118345,nm2479406
Guardianes de la Noche: Tren infinito,tt11032374,"nm5137121,nm6981978,nm1683003",nm1417038,nm10281577
Tres bodas de más,tt2418440,"nm2285844,nm2288618,nm1273697",nm1027519,nm2054281
