title_spanish,tconst,actors,director,writter
Reina de la estafa en Hollywood,tt32123951,"nm16040528,nm16650177,nm0807687",,nm16040528
"El niño, el topo, el zorro y el caballo",tt1935179,"nm0000190,nm0000702,nm4446467",nm2158772,nm2158772
WondLa,tt14076044,"nm3471005,nm0235006,nm0000159",,nm3116787
Little Voice,tt0147004,"nm0000950,nm0001363,nm0000191",nm0379179,nm0142179
Las aventuras (completamente inventadas) de Dick Turpin,tt19516036,"nm0276161,nm1742630,nm3976067",,nm1275414
Hacia la libertad,tt12530246,"nm0000226,nm0004936,nm6192439",nm0298807,nm0171651
Fancy Dance,tt21813994,"nm4291409,nm12902056,nm14499619",nm2109991,nm2109991
El Mundial de Messi: el ascenso de la leyenda,tt27972462,"nm2177779,nm2447662",,
Echo 3,tt12762512,"nm0401264,nm1812656,nm2193754",,nm1676793
Diario de una lechuza,tt0332280,"nm1658940,nm0001687,nm0210915",nm0001024,nm0505230
Noches en vela,tt23033802,"nm3687902,nm1064292,nm3002919",,nm0121168
Supermodelos,tt13228678,"nm0000340,nm0877258,nm0001984",,
Se busca: Carlos Ghosn,tt15520170,"nm13869814,nm11026400,nm2134282",,
John le Carré: volar en círculos,tt28486633,"nm11075753,nm5921359,nm0178041",nm0001554,nm0001554
Wolfwalkers,tt5198068,"nm4835867,nm10524619,nm0000293",nm1119079,nm3822528
Stephen Curry: un jugador subestimado,tt15210256,"nm2967426,nm0589185,nm5678602",nm2426403,
Un planeta extraño,tt14914464,"nm0011758,nm5093519,nm0157937",,nm4956526
Un lugar en el cielo,tt17543896,"nm2279940,nm11055907,nm10811355",,nm0441300
Conexiones,tt14792896,"nm0001993,nm1200692,nm0611932",,nm0102655
11-S: así se vivió en la Casa Blanca,tt15010478,"nm12921024,nm0124133,nm2485272",nm3502477,
Platónico,tt13366604,"nm0126284,nm0736622,nm1682832",,nm14819315
Esto va a doler,tt8681148,"nm0924210,nm10225996,nm1454097",,nm7048342
Estrellas del k-pop,tt33046324,"nm8033161,nm13030820,nm11468925",,
"Ésta es la gran calabaza, Charlie Brown",tt0060550,"nm0730435,nm0790259,nm0238741",nm0006837,nm0776433
La costa de los mosquitos,tt0091557,"nm0000148,nm0000545,nm0000203",nm0001837,nm0857623
La fiebre de los peluches Beanie,tt17677434,"nm0935541,nm1245863,nm0000966",nm2008067,nm1038878
Schmigadoon!,tt11808942,"nm1221047,nm5198446,nm4874651",,nm0202425
Causeway,tt10192406,"nm2225369,nm1689159,nm1159251",nm10244091,nm7727974
Calls,tt2874692,"nm4003706,nm1370984,nm0905935",,nm0083349
"Eugene Levy, el antiviajero",tt15822846,"nm0506405,nm0001058,nm7098064",,nm0175383
El poltergeist de Enfield,tt21377088,"nm0262226,nm11074572,nm14197251",,nm0272398
Extrapolaciones,tt13821126,"nm3229685,nm1092227,nm2588665",,nm1994243
Macbeth,tt2884018,"nm7752797,nm7752798,nm1055413",nm0997291,nm0521974
John Lennon: asesinato sin juicio,tt29627149,"nm0000662,nm4193699,nm7341823",,
Los Fraguel,tt0085017,"nm0625456,nm0324397,nm0926209",,nm0001345
Bread & Roses,tt0212826,"nm0655761,nm0004778,nm0001990",nm0516360,nm0491956
Truth Be Told,tt7821582,"nm0818055,nm0001616,nm0429171",,nm9526978
Sospechosos,tt0114814,"nm0000286,nm0000321,nm0001125",nm0001741,nm0003160
Carpool Karaoke: especial de Navidad,tt23546646,"nm2765391,nm3163952,nm14317323",nm1818040,nm2807682
La historia de los Beastie Boys,tt11615290,"nm1561997,nm0004855,nm0395259",nm0005069,nm0395259
Apple Music Live: Björk,tt35534649,nm0001951,nm0551506,nm0001951
Little America,tt8000674,"nm0523742,nm0491259,nm4139037",,nm1072409
Fraggle Rock: El regreso,tt12397680,"nm1935133,nm2832689,nm12507609",,nm4871026
The Velvet Underground,tt7230750,"nm0892754,nm0129816,nm0715563",nm0001331,nm0001331
Messi llega a Estados Unidos,tt29373357,"nm0065743,nm2177779,nm5308520",,
Flora y su hijo Max,tt25471950,"nm2016723,nm0687692,nm2050660",nm0138809,nm0138809
Selena Gomez: mi mente y yo,tt21819250,"nm11077533,nm2542850,nm4973031",nm0450194,nm0450194
¡Steve! (martin): un documental en 2 partes,tt21629194,"nm0000188,nm0000632,nm1118222",,
La Superliga: guerra por el fútbol,tt24587530,"nm4871354,nm0512633,nm1901873",,nm2182181
Fireball: visitantes de mundos oscuros,tt9203832,"nm0001348,nm2856535,nm12187722",nm0001348,nm0001348
The Line,tt0120863,"nm0009716,nm0020897,nm0337631",nm0000517,nm0428296
The Changeling: sombras de Nueva York,tt8559532,"nm3147751,nm9258692,nm5318871",,nm9258692
"¡Hasta el final! ¡Vamos, Real!",tt26924816,nm0065743,,nm5259179
Physical,tt11828492,"nm0126284,nm2665168,nm2081677",,nm2107415
El mundo en moto: rumbo norte,tt12824922,"nm0000191,nm0095564,nm1748959",,nm1256362
Hala,tt14961016,"nm0868639,nm0005244,nm0578080",nm0758574,nm2675515
Make or Break: En la cresta de la ola,tt13773908,,,
Animales a lo grande,tt27371495,nm1089991,,
Shantaram,tt0429087,"nm0402271,nm2417960,nm6847569",,nm3321311
El conejo de terciopelo,tt0974662,"nm0005412,nm0000643,nm0000995",nm0484901,nm0991407
1971: El año en el que la música lo cambio todo,tt14544732,"nm0005056,nm0621726,nm0344388",,nm16355903
Casas vanguardistas,tt8068900,"nm17080417,nm17080433,nm17080467",,
Por un mañana mejor,tt14596212,"nm0001082,nm1931436,nm0683467",,nm3494901
Campamento Snoopy,tt32490790,"nm10544030,nm1040874,nm0863999",,nm0100327
Hannah Waddingham: en casa por Navidad,tt27558577,"nm1821446,nm4651633,nm1812656",nm0357895,
Micromundos,tt13007904,"nm0748620,nm5968618",,nm1470516
Escuadrón maldito,tt31510396,"nm0000158,nm3661421,nm0000229",nm0100522,
Planeta nocturno: a todo color,tt13008036,nm1089991,,
Me llaman Magic Johnson,tt17736322,"nm0000717,nm0005059,nm1183975",,
Now and Then,tt0114011,"nm0000207,nm0005280,nm0000301",nm0322128,nm0454783
Reina de elefantes,tt6722976,nm0252230,nm1564617,nm1564617
Mr. Corman,tt10971064,"nm0330687,nm3594330,nm12681302",,nm2085707
Wonder Pets en la ciudad,tt0159206,"nm0000572,nm0000326,nm0004862",,nm0124299
El show de Snoopy,tt0264235,"nm0202970,nm0307531,nm0385644",,nm0202970
El escritor fantasma,tt1139328,"nm0000191,nm1256532,nm0695784",nm0000591,nm0365249
Fathom: Descifrando las profundidades,tt13622130,"nm12622812,nm12622813,nm12723327",nm3486559,
El arte del sonido con Mark Ronson,tt14482570,"nm1053148,nm0005200,nm0859821",,
Perdiendo a Alice,tt12398140,"nm0957909,nm6779063,nm4159531",,nm1428092
El código de la excelencia,tt5834204,"nm0005253,nm2088803,nm0235652",,nm0588005
Carpool Karaoke: La serie,tt6396082,"nm0179479,nm0421822,nm1679561",,nm3006046
Interruptores,tt21942776,"nm13118107,nm10645671,nm1110512",,nm1453801
El mundo en moto La aventura continúa,tt0959858,"nm0000191,nm0095564,nm1256362",,nm1256362
El año en el que el mundo cambió,tt14372240,"nm0041003,nm15355437,nm12532101",nm1592239,
Come From Away: Bienvenidos a Gander,tt7638556,"nm2471298,nm2867657,nm2310050",nm2259353,nm1809865
Lo que no ves de mí,tt14584186,"nm0001856,nm1056412,nm3078932",,
¡Yo Gabba Gabbalandia!,tt32082949,"nm10564275,nm1248730,nm2394891",,nm0414357
Visibilidad: LGTBI en la televisión,tt11610268,"nm0843100,nm0190497,nm2913119",,
The Oprah Conversation,tt10171532,"nm0001856,nm4117956,nm5049359",,nm0001856
Monster Factory,tt26940854,"nm13018675,nm4701949,nm14145761",,
Sapo y Sepo,tt2197822,"nm0269542,nm0724656,nm0444786",,nm7355913
El gran fraude,tt18265020,"nm2933542,nm7064660,nm11119042",,nm3482237
Las chicas de Surfside,tt0088526,"nm0037735,nm0924508,nm0001516",,nm0365358
